Ejercicio;cdcdad;nomcdad010;cdprov;nomprov010;cdcorp;nomcorp;ImpDeudViva
2015;01;ANDALUCIA;04;ALMERIA;001;Abla                                                                  ;424
2015;01;ANDALUCIA;04;ALMERIA;002;Abrucena                                                              ;132
2015;01;ANDALUCIA;04;ALMERIA;003;Adra                                                                  ;18.168
2015;01;ANDALUCIA;04;ALMERIA;004;Albánchez                                                             ;92
2015;01;ANDALUCIA;04;ALMERIA;005;Alboloduy                                                             ;31
2015;01;ANDALUCIA;04;ALMERIA;006;Albox                                                                 ;21.003
2015;01;ANDALUCIA;04;ALMERIA;007;Alcolea                                                               ;300
2015;01;ANDALUCIA;04;ALMERIA;008;Alcóntar                                                              ;293
2015;01;ANDALUCIA;04;ALMERIA;009;Alcudia de Monteagud                                                  ;32
2015;01;ANDALUCIA;04;ALMERIA;010;Alhabia                                                               ;2.828
2015;01;ANDALUCIA;04;ALMERIA;011;Alhama de Almería                                                     ;2.427
2015;01;ANDALUCIA;04;ALMERIA;012;Alicún                                                                ;248
2015;01;ANDALUCIA;04;ALMERIA;013;Almería                                                               ;103.523
2015;01;ANDALUCIA;04;ALMERIA;014;Almócita                                                              ;50
2015;01;ANDALUCIA;04;ALMERIA;015;Alsodux                                                               ;0
2015;01;ANDALUCIA;04;ALMERIA;016;Antas                                                                 ;2.013
2015;01;ANDALUCIA;04;ALMERIA;017;Arboleas                                                              ;653
2015;01;ANDALUCIA;04;ALMERIA;018;Armuña de Almanzora                                                   ;0
2015;01;ANDALUCIA;04;ALMERIA;019;Bacares                                                               ;173
2015;01;ANDALUCIA;04;ALMERIA;020;Bayárcal                                                              ;50
2015;01;ANDALUCIA;04;ALMERIA;021;Bayarque                                                              ;0
2015;01;ANDALUCIA;04;ALMERIA;022;Bédar                                                                 ;0
2015;01;ANDALUCIA;04;ALMERIA;023;Beires                                                                ;0
2015;01;ANDALUCIA;04;ALMERIA;024;Benahadux                                                             ;0
2015;01;ANDALUCIA;04;ALMERIA;026;Benitagla                                                             ;0
2015;01;ANDALUCIA;04;ALMERIA;027;Benizalón                                                             ;28
2015;01;ANDALUCIA;04;ALMERIA;028;Bentarique                                                            ;286
2015;01;ANDALUCIA;04;ALMERIA;029;Berja                                                                 ;7.964
2015;01;ANDALUCIA;04;ALMERIA;030;Canjáyar                                                              ;77
2015;01;ANDALUCIA;04;ALMERIA;031;Cantoria                                                              ;1.656
2015;01;ANDALUCIA;04;ALMERIA;032;Carboneras                                                            ;6.315
2015;01;ANDALUCIA;04;ALMERIA;033;Castro de Filabres                                                    ;0
2015;01;ANDALUCIA;04;ALMERIA;034;Cóbdar                                                                ;0
2015;01;ANDALUCIA;04;ALMERIA;035;Cuevas del Almanzora                                                  ;6.841
2015;01;ANDALUCIA;04;ALMERIA;036;Chercos                                                               ;0
2015;01;ANDALUCIA;04;ALMERIA;037;Chirivel                                                              ;1.467
2015;01;ANDALUCIA;04;ALMERIA;038;Dalías                                                                ;3.390
2015;01;ANDALUCIA;04;ALMERIA;041;Enix                                                                  ;85
2015;01;ANDALUCIA;04;ALMERIA;043;Felix                                                                 ;181
2015;01;ANDALUCIA;04;ALMERIA;044;Fines                                                                 ;1.648
2015;01;ANDALUCIA;04;ALMERIA;045;Fiñana                                                                ;293
2015;01;ANDALUCIA;04;ALMERIA;046;Fondón                                                                ;131
2015;01;ANDALUCIA;04;ALMERIA;047;Gádor                                                                 ;1.135
2015;01;ANDALUCIA;04;ALMERIA;048;Gallardos (Los)                                                       ;158
2015;01;ANDALUCIA;04;ALMERIA;049;Garrucha                                                              ;3.279
2015;01;ANDALUCIA;04;ALMERIA;050;Gérgal                                                                ;346
2015;01;ANDALUCIA;04;ALMERIA;051;Huécija                                                               ;206
2015;01;ANDALUCIA;04;ALMERIA;052;Huércal de Almería                                                    ;0
2015;01;ANDALUCIA;04;ALMERIA;053;Huércal-Overa                                                         ;6.963
2015;01;ANDALUCIA;04;ALMERIA;054;Illar                                                                 ;251
2015;01;ANDALUCIA;04;ALMERIA;055;Instinción                                                            ;0
2015;01;ANDALUCIA;04;ALMERIA;056;Laroya                                                                ;36
2015;01;ANDALUCIA;04;ALMERIA;057;Láujar de Andarax                                                     ;0
2015;01;ANDALUCIA;04;ALMERIA;058;Líjar                                                                 ;23
